tweet_id,favorites,retweets,timestamp
874296783580663808,24734,3807,Mon Jun 12 16:06:11 +0000 2017
874057562936811520,21580,3687,Mon Jun 12 00:15:36 +0000 2017
874012996292530176,32663,9554,Sun Jun 11 21:18:31 +0000 2017
873580283840344065,23030,3645,Sat Jun 10 16:39:04 +0000 2017
873337748698140672,0,1482,Sat Jun 10 00:35:19 +0000 2017
873213775632977920,6814,1482,Fri Jun 09 16:22:42 +0000 2017
872967104147763200,25975,5048,Fri Jun 09 00:02:31 +0000 2017
872820683541237760,14026,3458,Thu Jun 08 14:20:41 +0000 2017
872620804844003328,19733,3399,Thu Jun 08 01:06:27 +0000 2017
872486979161796608,38803,8410,Wed Jun 07 16:14:40 +0000 2017
872122724285648897,32723,7540,Tue Jun 06 16:07:15 +0000 2017
871879754684805121,35909,10283,Tue Jun 06 00:01:46 +0000 2017
871762521631449091,19304,3247,Mon Jun 05 16:15:56 +0000 2017
871515927908634625,19238,3243,Sun Jun 04 23:56:03 +0000 2017
871166179821445120,0,5337,Sun Jun 04 00:46:17 +0000 2017
871102520638267392,19970,5154,Sat Jun 03 20:33:19 +0000 2017
871032628920680449,21698,3577,Sat Jun 03 15:55:36 +0000 2017
870804317367881728,32123,5798,Sat Jun 03 00:48:22 +0000 2017
870726314365509632,117,3,Fri Jun 02 19:38:25 +0000 2017
870656317836468226,11829,2474,Fri Jun 02 15:00:16 +0000 2017
870374049280663552,79207,24772,Thu Jun 01 20:18:38 +0000 2017
870308999962521604,20922,3881,Thu Jun 01 16:00:09 +0000 2017
870063196459192321,34953,7797,Wed May 31 23:43:25 +0000 2017
869772420881756160,40653,9472,Wed May 31 04:27:59 +0000 2017
869702957897576449,27016,5922,Tue May 30 23:51:58 +0000 2017
869596645499047938,15288,2933,Tue May 30 16:49:31 +0000 2017
869227993411051520,19545,3559,Mon May 29 16:24:37 +0000 2017
868880397819494401,62685,13564,Sun May 28 17:23:24 +0000 2017
868639477480148993,0,1952,Sun May 28 01:26:04 +0000 2017
868622495443632128,25573,4982,Sun May 28 00:18:35 +0000 2017
868552278524837888,9672,1952,Sat May 27 19:39:34 +0000 2017
867900495410671616,23224,3940,Fri May 26 00:29:37 +0000 2017
867774946302451713,32587,6936,Thu May 25 16:10:44 +0000 2017
867421006826221569,15448,2347,Wed May 24 16:44:18 +0000 2017
867072653475098625,0,115,Tue May 23 17:40:04 +0000 2017
867051520902168576,30931,7431,Tue May 23 16:16:06 +0000 2017
866720684873056260,19260,4529,Mon May 22 18:21:28 +0000 2017
866686824827068416,18539,3285,Mon May 22 16:06:55 +0000 2017
866450705531457537,117505,33317,Mon May 22 00:28:40 +0000 2017
866334964761202691,50419,13488,Sun May 21 16:48:45 +0000 2017
866094527597207552,0,7932,Sun May 21 00:53:21 +0000 2017
865718153858494464,24696,5322,Fri May 19 23:57:46 +0000 2017
865359393868664832,25484,4737,Fri May 19 00:12:11 +0000 2017
865006731092295680,26990,7289,Thu May 18 00:50:50 +0000 2017
864873206498414592,31087,8249,Wed May 17 16:00:15 +0000 2017
864279568663928832,14054,2862,Tue May 16 00:41:21 +0000 2017
864197398364647424,28945,8413,Mon May 15 19:14:50 +0000 2017
863907417377173506,19861,3926,Mon May 15 00:02:33 +0000 2017
